Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Bergamote,bergamote,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1ffae493500713c21af,false,false,Tue May 18 2021 13:32:47 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:47 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Bleuet,bleuet,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2f4b6fcc649fa00b1fc,false,false,Tue May 18 2021 13:36:52 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:52 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Boisé,boise,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1feffab00f038df1364,false,false,Tue May 18 2021 13:32:46 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:46 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Brûlé,brule,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c204356e691a4098f23e,false,false,Tue May 18 2021 13:32:52 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:52 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Bubble Gum,bubble-gum,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1df2f098dd13bbeb4f0,false,false,Tue May 18 2021 13:32:15 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:15 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Café,cafe,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c2e76208b4058a64ad38,false,false,Tue May 18 2021 13:36:39 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:36:39 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Camomille,camomille,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1f8f52ac7fc657007a1,false,false,Tue May 18 2021 13:32:40 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:40 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Caramel,caramel,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c203ab43685fda7f04e7,false,false,Tue May 18 2021 13:32:51 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:51 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Caramel au Beurre (toffee),caramel-au-beurre-toffee,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1f9d9f64d29a9f6ac61,false,false,Tue May 18 2021 13:32:41 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:41 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
Cassis,cassis,60a3bad7f33196db07788225,653acfd9e882f528b3ed2e72,60a3c1deeaed2f63d1ed42bb,false,false,Tue May 18 2021 13:32:14 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 13:32:14 GMT+0000 (Coordinated Universal Time),Tue May 18 2021 14:49:17 GMT+0000 (Coordinated Universal Time)
