Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Country,Region,Departement
Annecy (74000),annecy-74000,605206ac752b304f89749712,653acfd9e882f528b3ed2e72,60cc5597ce1188774dc00719,false,false,Fri Jun 18 2021 08:13:11 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 08:13:11 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 08:17:17 GMT+0000 (Coordinated Universal Time),france,rhone-alpes,haute-savoie-74
Bordeaux (33000),bordeaux-33000,605206ac752b304f89749712,653acfd9e882f528b3ed2e72,60cc54a19122984be4e3c009,false,false,Fri Jun 18 2021 08:09:05 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 08:11:03 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 08:17:17 GMT+0000 (Coordinated Universal Time),france,aquitaine,gironde-33
Caen (14000),caen-14000,605206ac752b304f89749712,653acfd9e882f528b3ed2e72,60e6b7a9a6fc86de478f3172,false,false,Thu Jul 08 2021 08:30:33 GMT+0000 (Coordinated Universal Time),Thu Jul 08 2021 08:30:33 GMT+0000 (Coordinated Universal Time),Fri Jul 30 2021 14:55:13 GMT+0000 (Coordinated Universal Time),france,normandie,calvados
Grenoble (38000),grenoble,605206ac752b304f89749712,653acfd9e882f528b3ed2e72,607bd56d180ab972302ab00a,false,false,Sun Apr 18 2021 06:45:01 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 08:10:53 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 08:17:17 GMT+0000 (Coordinated Universal Time),france,rhone-alpes,isere
Lille (59000),lille-59000,605206ac752b304f89749712,653acfd9e882f528b3ed2e72,60cc5617eef92ca4c3d08944,false,false,Fri Jun 18 2021 08:15:19 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 08:15:19 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 08:17:17 GMT+0000 (Coordinated Universal Time),france,nord-pas-de-calais,nord-59
Reims (51100),reims-51100,605206ac752b304f89749712,653acfd9e882f528b3ed2e72,60e6b6a0d760a630e4d020c3,false,false,Thu Jul 08 2021 08:26:08 GMT+0000 (Coordinated Universal Time),Thu Jul 08 2021 08:26:08 GMT+0000 (Coordinated Universal Time),Fri Jul 30 2021 14:55:13 GMT+0000 (Coordinated Universal Time),france,champagne-ardenne,marne-51
Roubaix,roubaix,605206ac752b304f89749712,653acfd9e882f528b3ed2e72,608960e660f6f05dd8e52798,false,false,Wed Apr 28 2021 13:19:34 GMT+0000 (Coordinated Universal Time),Wed Apr 28 2021 13:19:34 GMT+0000 (Coordinated Universal Time),Sat May 01 2021 07:38:22 GMT+0000 (Coordinated Universal Time),france,nord-pas-de-calais,nord-59
Toulouse (31000),toulouse-31000,605206ac752b304f89749712,653acfd9e882f528b3ed2e72,60cc537a09c9c14bae3c3513,false,false,Fri Jun 18 2021 08:04:10 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 08:04:10 GMT+0000 (Coordinated Universal Time),Fri Jun 18 2021 08:17:17 GMT+0000 (Coordinated Universal Time),france,midi-pyrenees,haute-garonne-31
