Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On,Description,Icon,Color
Bière Sans Alcool,biere-sans-alcool,66dc1a5089b1d602041f53c4,653acfd9e882f528b3ed2e72,66dc1a63dd607b08dfbebf6e,false,false,Sat Sep 07 2024 09:18:27 GMT+0000 (Coordinated Universal Time),Sat Sep 07 2024 09:18:27 GMT+0000 (Coordinated Universal Time),Sat Sep 07 2024 09:27:47 GMT+0000 (Coordinated Universal Time),,,
Bières,bieres,66dc1a5089b1d602041f53c4,653acfd9e882f528b3ed2e72,6710dc03b852284eb2ac303e,false,false,Thu Oct 17 2024 09:42:27 GMT+0000 (Coordinated Universal Time),Thu Oct 17 2024 09:42:27 GMT+0000 (Coordinated Universal Time),Thu Oct 17 2024 09:44:15 GMT+0000 (Coordinated Universal Time),,,
Technologie,technologie,66dc1a5089b1d602041f53c4,653acfd9e882f528b3ed2e72,66dc1a6e079776ced5a26ad1,false,false,Sat Sep 07 2024 09:18:38 GMT+0000 (Coordinated Universal Time),Sat Sep 07 2024 09:18:38 GMT+0000 (Coordinated Universal Time),Sat Sep 07 2024 09:27:47 GMT+0000 (Coordinated Universal Time),,,
