Name,Slug,Collection ID,Locale ID,Item ID,Archived,Draft,Created On,Updated On,Published On
Bouteilles,bouteilles,66e34a8c388840b9907a0222,653acfd9e882f528b3ed2e72,66e34ab9388840b9907a2af9,false,false,Thu Sep 12 2024 20:10:33 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 20:10:33 GMT+0000 (Coordinated Universal Time),Fri Sep 13 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Embouteillage,embouteillage,66e34a8c388840b9907a0222,653acfd9e882f528b3ed2e72,66e34b35d433098f07e453e9,false,false,Thu Sep 12 2024 20:12:37 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 20:12:37 GMT+0000 (Coordinated Universal Time),Fri Sep 13 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Etiquettes,etiquettes,66e34a8c388840b9907a0222,653acfd9e882f528b3ed2e72,66e34ab18f47196cd30d58d1,false,false,Thu Sep 12 2024 20:10:25 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 20:10:25 GMT+0000 (Coordinated Universal Time),Fri Sep 13 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Fûts ,futs,66e34a8c388840b9907a0222,653acfd9e882f528b3ed2e72,66e34b5bd433098f07e46fde,false,false,Thu Sep 12 2024 20:13:15 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 20:13:15 GMT+0000 (Coordinated Universal Time),Fri Sep 13 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Houblons,houblons,66e34a8c388840b9907a0222,653acfd9e882f528b3ed2e72,66e34aa23097f8f06aee7a76,false,false,Thu Sep 12 2024 20:10:10 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 20:10:10 GMT+0000 (Coordinated Universal Time),Fri Sep 13 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Levures,levures,66e34a8c388840b9907a0222,653acfd9e882f528b3ed2e72,66e34ac19dfc3bbd71065abf,false,false,Thu Sep 12 2024 20:10:41 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 20:10:41 GMT+0000 (Coordinated Universal Time),Fri Sep 13 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Malts,malts,66e34a8c388840b9907a0222,653acfd9e882f528b3ed2e72,66e34a9b8424c6fd5022dc0f,false,false,Thu Sep 12 2024 20:10:03 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 20:10:17 GMT+0000 (Coordinated Universal Time),Fri Sep 13 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
Matériel de brassage,materiel-de-brassage,66e34a8c388840b9907a0222,653acfd9e882f528b3ed2e72,66e34b24f8854d700635b74a,false,false,Thu Sep 12 2024 20:12:20 GMT+0000 (Coordinated Universal Time),Thu Sep 12 2024 20:12:20 GMT+0000 (Coordinated Universal Time),Fri Sep 13 2024 07:51:02 GMT+0000 (Coordinated Universal Time)
